BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 196.1.248.0      196.223.20.21            0             0 15706 ?
*> 196.1.252.0/22   196.223.20.21            0             0 15706 ?
*> 196.29.160.0/19  196.223.20.24            0             0 33788 i
*> 196.29.160.0     196.223.20.24            0             0 33788 i
*> 196.29.161.0     196.223.20.24            0             0 33788 i
*> 196.29.162.0     196.223.20.24            0             0 33788 i
*> 196.29.163.0     196.223.20.24            0             0 33788 i
*> 196.29.164.0     196.223.20.24            0             0 33788 i
*> 196.29.165.0     196.223.20.24            0             0 33788 i
*> 196.29.166.0     196.223.20.24            0             0 33788 i
*> 196.29.167.0     196.223.20.24            0             0 33788 i
*> 196.29.168.0     196.223.20.24            0             0 33788 i
*> 196.29.169.0     196.223.20.24            0             0 33788 i
*> 196.29.170.0     196.223.20.24            0             0 33788 i
*> 196.29.172.0     196.223.20.24            0             0 33788 i
*> 196.29.173.0     196.223.20.24            0             0 33788 i
*> 196.29.174.0     196.223.20.24            0             0 33788 i
*> 196.29.176.0     196.223.20.24            0             0 33788 i
*> 196.29.177.0     196.223.20.24            0             0 33788 i
*> 196.29.178.0     196.223.20.24            0             0 33788 i
*> 196.29.179.0     196.223.20.40            0             0 37211 i
*> 196.29.180.0     196.223.20.24            0             0 33788 i
*> 196.29.181.0     196.223.20.24            0             0 33788 i
*> 196.29.182.0/23  196.223.20.24            0             0 33788 i
*> 196.29.182.0     196.223.20.24            0             0 33788 i
*> 196.29.183.0     196.223.20.24            0             0 33788 i
*> 196.29.184.0/23  196.223.20.24            0             0 33788 i
*> 196.29.184.0     196.223.20.24            0             0 33788 i
*> 196.29.185.0     196.223.20.24            0             0 33788 i
*> 196.29.186.0/23  196.223.20.24            0             0 33788 i
*> 196.29.186.0     196.223.20.24            0             0 33788 i
*> 196.29.187.0     196.223.20.24            0             0 33788 i
*> 196.29.189.0     196.223.20.24            0             0 33788 i
*> 196.29.190.0     196.223.20.24            0             0 33788 i
*> 196.29.191.0     196.223.20.24            0             0 33788 i
*> 196.202.128.0/19 196.223.20.21            0             0 15706 ?
*> 196.202.128.0/20 196.223.20.21            0             0 15706 ?
*> 196.202.128.0/21 196.223.20.21            0             0 15706 ?
*> 196.202.128.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.133.0    196.223.20.21            0             0 15706 ?
*> 196.202.134.0    196.223.20.21            0             0 15706 ?
*> 196.202.136.0/21 196.223.20.21            0             0 15706 ?
*> 196.202.136.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.137.0    196.223.20.21            0             0 15706 ?
*> 196.202.139.0    196.223.20.21            0             0 15706 ?
*> 196.202.140.0/22 196.223.20.21            0             0 15706 ?
*> 196.202.140.0    196.223.20.21            0             0 15706 ?
*> 196.202.143.0    196.223.20.21            0             0 15706 ?
*> 196.202.144.0/20 196.223.20.21            0             0 15706 ?
*> 196.202.144.0/21 196.223.20.21            0             0 15706 ?
*> 196.202.144.0    196.223.20.21            0             0 15706 ?
*> 196.202.145.0    196.223.20.21            0             0 15706 ?
*> 196.202.147.0    196.223.20.21            0             0 15706 ?
