###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
| 287 | Valid | Valid  | 103.89.159.0/24  |      136477 |
| 288 | Valid | Valid  | 103.90.84.0/22   |       23647 |
| 290 | Valid | Valid  | 103.90.85.0/24   |       23647 |
| 291 | Valid | Valid  | 103.90.86.0/23   |       23647 |
| 292 | Valid | Valid  | 103.90.144.0/22  |      136530 |
| 293 | Valid | Valid  | 103.90.144.0/23  |      136530 |
| 294 | Valid | Valid  | 103.90.144.0/24  |      136530 |
| 295 | Valid | Valid  | 103.90.145.0/24  |      136530 |
| 296 | Valid | Valid  | 103.90.146.0/23  |      136530 |
| 297 | Valid | Valid  | 103.90.146.0/24  |      136530 |
| 298 | Valid | Valid  | 103.90.147.0/24  |      136530 |
| 299 | Valid | Valid  | 103.93.123.0/24  |      133557 |
| 300 | Valid | Valid  | 103.94.158.0/24  |      135337 |
| 305 | Valid | Valid  | 103.94.252.0/23  |       24550 |
| 306 | Valid | Valid  | 103.94.252.0/24  |       24550 |
| 307 | Valid | Valid  | 103.94.253.0/24  |       24550 |
| 308 | Valid | Valid  | 103.94.254.0/23  |       24550 |
| 309 | Valid | Valid  | 103.94.254.0/24  |       24550 |
| 310 | Valid | Valid  | 103.94.255.0/24  |       24550 |
| 311 | Valid | Valid  | 103.95.16.0/22   |       23752 |
| 312 | Valid | Valid  | 103.95.16.0/24   |       23752 |
| 313 | Valid | Valid  | 103.95.17.0/24   |       23752 |
| 314 | Valid | Valid  | 103.95.19.0/24   |       23752 |
| 315 | Valid | Valid  | 103.96.32.0/22   |      136794 |
| 316 | Valid | Valid  | 103.96.32.0/24   |      136794 |
| 317 | Valid | Valid  | 103.96.244.0/22  |      136908 |
| 318 | Valid | Valid  | 103.96.244.0/24  |      136908 |
| 319 | Valid | Valid  | 103.96.245.0/24  |      136908 |
| 320 | Valid | Valid  | 103.96.246.0/24  |      136908 |
| 321 | Valid | Valid  | 103.96.247.0/24  |      136908 |
| 322 | Valid | Valid  | 103.98.128.0/24  |       58504 |
| 323 | Valid | Valid  | 103.98.129.0/24  |       58504 |
| 324 | Valid | Valid  | 103.98.130.0/24  |       58504 |
